seed,drop_na,drop_high,shuffle,dummy_coding,ratio,alpha,K,PCA,eigen_delete,training_error,test_error
0,1,0,1,1,1,0,10,1,1,40.70277722320079,40.7922766739374
1,1,0,1,1,1,0,10,1,1,40.701375057285695,40.79866655938414
2,1,0,1,1,1,0,10,1,1,40.70270217925995,40.788268849337584
3,1,0,1,1,1,0,10,1,1,40.70075126977103,40.81792748458988
4,1,0,1,1,1,0,10,1,1,40.70327609427776,40.77424364602876
5,1,0,1,1,1,0,10,1,1,40.70007273112753,40.81356275149841
6,1,0,1,1,1,0,10,1,1,40.700893169321745,40.802591063630246
7,1,0,1,1,1,0,10,1,1,40.70220023119461,40.78028586607752
8,1,0,1,1,1,0,10,1,1,40.70089413495688,40.804087507315195
9,1,0,1,1,1,0,10,1,1,40.702280793648775,40.79273741562705
10,1,0,1,1,1,0,10,1,1,40.702061095085725,40.78957277229877
11,1,0,1,1,1,0,10,1,1,40.70112277791894,40.80925228942743
12,1,0,1,1,1,0,10,1,1,40.70071311235589,40.811477278668185
13,1,0,1,1,1,0,10,1,1,40.702321592282786,40.7846587900044
14,1,0,1,1,1,0,10,1,1,40.70152298834272,40.785191163353076
15,1,0,1,1,1,0,10,1,1,40.700723510517335,40.80244060341989
16,1,0,1,1,1,0,10,1,1,40.70166123436222,40.807110972578194
17,1,0,1,1,1,0,10,1,1,40.70178050268539,40.79639463592626
18,1,0,1,1,1,0,10,1,1,40.700697111372,40.81112388156144
19,1,0,1,1,1,0,10,1,1,40.7019308284466,40.79079371167582
20,1,0,1,1,1,0,10,1,1,40.70334235472376,40.7835368595276
21,1,0,1,1,1,0,10,1,1,40.70059559451797,40.81199366900366
22,1,0,1,1,1,0,10,1,1,40.70161011752512,40.80422340331127
23,1,0,1,1,1,0,10,1,1,40.702545808174065,40.78903693251873
24,1,0,1,1,1,0,10,1,1,40.70249821646327,40.780352898336425
25,1,0,1,1,1,0,10,1,1,40.702147814914,40.79252477585943
26,1,0,1,1,1,0,10,1,1,40.701153040815505,40.8055585615417
27,1,0,1,1,1,0,10,1,1,40.70241399238098,40.79182066159433
28,1,0,1,1,1,0,10,1,1,40.702669723530775,40.77462224298782
29,1,0,1,1,1,0,10,1,1,40.702074853050874,40.78882436246012
30,1,0,1,1,1,0,10,1,1,40.70201156085679,40.78803538986298
31,1,0,1,1,1,0,10,1,1,40.70347445229141,40.77288258314854
32,1,0,1,1,1,0,10,1,1,40.702320362471475,40.78908308423192
33,1,0,1,1,1,0,10,1,1,40.702386072427416,40.78324954542501
34,1,0,1,1,1,0,10,1,1,40.70142787844336,40.796951369440215
35,1,0,1,1,1,0,10,1,1,40.7011282396036,40.8097198230093
36,1,0,1,1,1,0,10,1,1,40.70198332933669,40.80913281828198
37,1,0,1,1,1,0,10,1,1,40.7019687117084,40.795264351180094
38,1,0,1,1,1,0,10,1,1,40.70252048799476,40.79638477844965
39,1,0,1,1,1,0,10,1,1,40.70145391055945,40.798774352580324
40,1,0,1,1,1,0,10,1,1,40.700853358924874,40.791167489926735
41,1,0,1,1,1,0,10,1,1,40.70086498634012,40.809569264036824
42,1,0,1,1,1,0,10,1,1,40.70186921054459,40.79426830504448
43,1,0,1,1,1,0,10,1,1,40.70262685044965,40.775554007920945
44,1,0,1,1,1,0,10,1,1,40.70145587722979,40.798822599648155
45,1,0,1,1,1,0,10,1,1,40.701317307655586,40.797031849458165
46,1,0,1,1,1,0,10,1,1,40.70145371050763,40.80960897807486
47,1,0,1,1,1,0,10,1,1,40.70182286833459,40.78111371978695
48,1,0,1,1,1,0,10,1,1,40.701521138052264,40.79925730642492
49,1,0,1,1,1,0,10,1,1,40.70185075599262,40.797138448747035
50,1,0,1,1,1,0,10,1,1,40.70267065396153,40.76872442569062
51,1,0,1,1,1,0,10,1,1,40.70303023873853,40.76104944202512
52,1,0,1,1,1,0,10,1,1,40.7019425283805,40.80008431499491
53,1,0,1,1,1,0,10,1,1,40.700775403981744,40.81552563547808
54,1,0,1,1,1,0,10,1,1,40.70166939411546,40.8165181867373
55,1,0,1,1,1,0,10,1,1,40.70113251860392,40.83318742355038
56,1,0,1,1,1,0,10,1,1,40.70324387278131,40.776988787328314
57,1,0,1,1,1,0,10,1,1,40.7013181097883,40.80903911600986
58,1,0,1,1,1,0,10,1,1,40.701445854167986,40.79726254571314
59,1,0,1,1,1,0,10,1,1,40.70269095109359,40.7783729734041
60,1,0,1,1,1,0,10,1,1,40.70231763313343,40.787219889636894
61,1,0,1,1,1,0,10,1,1,40.70341602122482,40.77351896583534
62,1,0,1,1,1,0,10,1,1,40.70238797417821,40.78653023282496
63,1,0,1,1,1,0,10,1,1,40.70071237594986,40.81008109793107
64,1,0,1,1,1,0,10,1,1,40.70260643866349,40.800416889001475
65,1,0,1,1,1,0,10,1,1,40.70348202133807,40.7650070085734
66,1,0,1,1,1,0,10,1,1,40.70135630875201,40.79847136731352
67,1,0,1,1,1,0,10,1,1,40.700863202312995,40.81714098303681
68,1,0,1,1,1,0,10,1,1,40.70045721257478,40.815044974306446
69,1,0,1,1,1,0,10,1,1,40.7018926586553,40.78976848167895
70,1,0,1,1,1,0,10,1,1,40.70073595058271,40.806496005687364
71,1,0,1,1,1,0,10,1,1,40.70200367964066,40.79317936543377
72,1,0,1,1,1,0,10,1,1,40.70105189051597,40.780602806346074
73,1,0,1,1,1,0,10,1,1,40.70384213600013,40.76616120708299
74,1,0,1,1,1,0,10,1,1,40.70078504891777,40.802133683438264
75,1,0,1,1,1,0,10,1,1,40.70139124042472,40.8018574518003
76,1,0,1,1,1,0,10,1,1,40.7017345287522,40.791084132181425
77,1,0,1,1,1,0,10,1,1,40.70186082164297,40.7956281548925
78,1,0,1,1,1,0,10,1,1,40.70251591819237,40.79191465468688
79,1,0,1,1,1,0,10,1,1,40.70210176157791,40.799076485390884
80,1,0,1,1,1,0,10,1,1,40.70090048146629,40.79764821593529
81,1,0,1,1,1,0,10,1,1,40.703675778445565,40.764017414749425
82,1,0,1,1,1,0,10,1,1,40.70123289316764,40.80797655960724
83,1,0,1,1,1,0,10,1,1,40.70131614740759,40.80801378268198
84,1,0,1,1,1,0,10,1,1,40.700735505499736,40.81349615810076
85,1,0,1,1,1,0,10,1,1,40.70161250096135,40.80079998213585
86,1,0,1,1,1,0,10,1,1,40.70239591065878,40.79066741485689
87,1,0,1,1,1,0,10,1,1,40.70155785712557,40.79422348935904
88,1,0,1,1,1,0,10,1,1,40.70132254684335,40.80203469844737
89,1,0,1,1,1,0,10,1,1,40.70192695700088,40.793225861924306
90,1,0,1,1,1,0,10,1,1,40.703177688829484,40.77730728410063
91,1,0,1,1,1,0,10,1,1,40.70069742766596,40.803769756005536
92,1,0,1,1,1,0,10,1,1,40.703505589281086,40.772936848085514
93,1,0,1,1,1,0,10,1,1,40.701453554090854,40.79285912765944
94,1,0,1,1,1,0,10,1,1,40.702047290843566,40.78213646926477
95,1,0,1,1,1,0,10,1,1,40.70274869311763,40.7775755219311
96,1,0,1,1,1,0,10,1,1,40.7024859998487,40.80259736399288
97,1,0,1,1,1,0,10,1,1,40.702481902283395,40.7848254018469
98,1,0,1,1,1,0,10,1,1,40.70169055043529,40.798248973529404
99,1,0,1,1,1,0,10,1,1,40.70200934098542,40.80233493081994
